DATE,elec,copper,NGas,stock,Tbill
4/15/2014,26.22,3.017,4.567,40.240925,119.52
4/16/2014,27.49,3.05,4.53,40.55204,119.35
4/17/2014,35.34,3.07,4.741,39.885361,119.01
4/21/2014,28.33,3.068,4.697,39.805355,119.06
4/22/2014,38.55,3.079,4.739,39.725349,118.95
4/23/2014,34.99,3.082,4.73,39.627567,119.14
4/24/2014,32.75,3.136,4.705,39.912014,119.12
4/25/2014,42.04,3.127,4.647,40.445362,119.18
4/28/2014,40.63,3.108,4.795,40.738712,119.23
4/29/2014,36.71,3.072,4.831,40.312027,119.15
4/30/2014,41.36,3.03,4.815,40.516479,119.45
5/5/2014,35.69,3.071,4.688,39.876469,119.46
6/5/2014,31.5,3.091,4.701,41.334282,120.05
8/5/2014,22.79,3.199,3.897,39.247952,119.33
9/5/2014,41.38,3.158,3.793,43.143124,119.49
12/5/2014,49.62,2.925,3.802,46.19841,119.34
12/5/2014,49.62,2.925,3.802,46.19841,119.34
5/13/2014,56.29,3.15,4.358,38.400875,119.84
5/14/2014,57.58,3.174,4.367,38.916443,120.12
5/15/2014,24.94,3.162,4.469,38.783115,120.24
5/16/2014,35.29,3.161,4.413,38.792,120.2
5/19/2014,38.78,3.179,4.47,38.685329,120.25
5/20/2014,36.67,3.156,4.552,38.783115,120.42
5/21/2014,33.84,3.131,4.473,39.369781,120.34
5/22/2014,18.75,3.152,4.359,39.65424,120.2
5/23/2014,35.75,3.18,4.405,39.752018,120.34
5/27/2014,22.1,3.193,4.505,39.805355,120.34
5/28/2014,33.65,3.188,4.619,40.267578,120.63
5/29/2014,32.26,3.154,4.559,40.605373,120.55
5/30/2014,40.67,3.136,4.542,40.774261,120.49
5/6/2014,37.39,3.075,4.799,39.387558,119.45
6/6/2014,39.44,3.053,4.71,41.494274,119.92
10/6/2014,41.27,3.03,3.898,41.039051,118.74
11/6/2014,36.38,3.03,4.404,44.738552,119.21
6/13/2014,35.83,3.03,4.739,41.378719,119.73
6/16/2014,34.45,3.047,4.707,41.672062,119.7
6/17/2014,29.14,3.058,4.709,41.672062,119.45
6/18/2014,29.07,3.055,4.659,42.400967,119.6
6/19/2014,32.64,3.075,4.584,42.872086,119.76
6/20/2014,38.54,3.118,4.531,42.836533,119.7
6/23/2014,32.22,3.146,4.446,42.329849,119.67
6/24/2014,37.69,3.147,4.535,42.427631,119.8
6/25/2014,32.77,3.16,4.553,42.223186,119.95
6/26/2014,27.03,3.161,4.4,42.362297,120.13
6/27/2014,37.99,3.149,4.409,42.658482,120.16
6/30/2014,46.33,3.188,4.461,43.098255,120.18
7/7/2014,42.07,3.248,4.225,41.725075,118.87
8/7/2014,34.45,3.171,3.876,38.84407,119.65
10/7/2014,41.2,3.034,3.957,40.241127,119.02
11/7/2014,63.35,3.053,4.412,45.654362,119.57
7/14/2014,55.64,3.239,4.147,42.119968,119.19
7/15/2014,41.47,3.239,4.097,42.443081,119.08
7/16/2014,33.26,3.205,4.119,42.640526,119.02
7/17/2014,32.4,3.209,3.954,42.06612,119.27
7/18/2014,34.63,3.174,3.951,42.425117,119.19
7/21/2014,36.9,3.187,3.849,42.299473,119.09
7/22/2014,31.96,3.196,3.772,42.326401,119.24
7/23/2014,30.76,3.195,3.762,42.308449,119.29
7/24/2014,34.07,3.254,3.847,42.51487,119.05
7/25/2014,43.04,3.227,3.781,42.272549,119.16
7/28/2014,45.55,3.231,3.747,42.51487,119.04
7/29/2014,45.84,3.209,3.808,41.823795,119.15
7/30/2014,47.49,3.232,3.786,41.016041,118.8
7/31/2014,54.69,3.223,3.841,40.091602,118.84
5/8/2014,36.97,3.083,4.572,39.636463,119.8
7/8/2014,35.96,3.243,4.204,42.021244,119.05
8/8/2014,51.39,3.166,3.962,39.59798,119.61
